Session_ID,Visit_Date,Traffic_Source,Device_Type,Product_Category,Pages_Viewed,Time_Spent_Minutes,Added_To_Cart,Purchase_Made,Order_Value,Customer_Country,Customer_Age
SES000000,2025-08-30,Direct,Desktop,Sports,13,22.6,No,Yes,2561.59,Bangladesh,32
SES000001,2025-08-01,Facebook,Desktop,Electronics,5,107.96,Yes,No,21642.61,Bangladesh,46
SES000002,2022-01-21,Instagram,Desktop,Home,19,38.46,Yes,No,16525.93,Bangladesh,52
SES000003,2025-07-17,YouTube,Tablet,Home,13,8.02,No,Yes,16791.92,Bangladesh,30
SES000004,2024-10-05,Google,Desktop,Electronics,28,19.34,Yes,No,12489.04,Canada,52
SES000005,2024-12-06,Google,Tablet,Beauty,8,117.77,Yes,No,838.16,India,42
SES000006,2022-04-04,YouTube,Mobile,Sports,18,35.06,Yes,No,28550.9,USA,46
SES000007,2025-09-13,Google,Desktop,Fashion,10,16.14,No,No,9970.91,India,37
SES000008,2024-08-14,Direct,Desktop,Beauty,24,55.27,Yes,No,15777.8,Canada,52
SES000009,2023-11-09,Direct,Desktop,Fashion,17,12.09,Yes,No,11893.89,Canada,31
SES000010,2023-12-07,Instagram,Tablet,Beauty,4,95.58,No,No,27770.16,India,28
SES000011,2025-09-21,Facebook,Mobile,Sports,2,65.08,Yes,Yes,5332.36,India,36
SES000012,2022-03-29,Instagram,Mobile,Home,8,37.0,Yes,Yes,11805.08,Canada,22
SES000013,2024-02-17,Facebook,Mobile,Sports,22,42.12,No,Yes,10376.43,USA,36
SES000014,2022-08-05,Instagram,Tablet,Beauty,7,76.83,Yes,No,14050.35,Germany,35
SES000015,2024-02-22,Direct,Desktop,Electronics,5,61.04,Yes,Yes,18312.32,USA,34
SES000016,2023-12-12,Instagram,Tablet,Electronics,14,63.72,No,No,8191.12,Bangladesh,59
SES000017,2024-09-19,Facebook,Tablet,Beauty,15,106.67,No,Yes,14018.53,Canada,61
SES000018,2023-03-28,Instagram,Mobile,Electronics,19,61.81,No,No,11746.39,Germany,57
SES000019,2022-05-28,Instagram,Mobile,Beauty,12,100.21,No,Yes,10041.82,India,26
SES000020,2022-06-12,YouTube,Desktop,Fashion,6,105.6,No,No,596.01,Bangladesh,51
SES000021,2024-10-29,YouTube,Mobile,Home,5,30.49,Yes,No,2050.34,USA,36
SES000022,2024-03-21,Direct,Mobile,Fashion,24,109.03,Yes,No,2622.05,Germany,37
SES000023,2024-01-01,Google,Desktop,Fashion,21,12.95,Yes,No,4310.83,Canada,31
SES000024,2024-07-07,YouTube,Mobile,Beauty,11,70.52,Yes,No,12417.71,Germany,22
SES000025,2022-05-13,Google,Mobile,Electronics,17,27.14,No,Yes,10940.9,USA,59
SES000026,2025-10-26,YouTube,Mobile,Electronics,28,10.41,No,No,18087.15,Canada,31
SES000027,2022-04-13,YouTube,Desktop,Sports,26,82.06,No,No,14585.65,India,55
SES000028,2024-08-23,Google,Tablet,Electronics,19,9.31,No,No,29785.47,India,32
SES000029,2022-07-04,Facebook,Desktop,Fashion,26,50.75,No,Yes,29916.42,India,62
SES000030,2024-05-04,Google,Mobile,Sports,5,47.18,No,Yes,6641.76,Bangladesh,58
SES000031,2024-01-03,Google,Tablet,Electronics,20,15.84,Yes,No,14860.45,India,21
SES000032,2024-05-21,Facebook,Mobile,Electronics,20,61.79,Yes,No,21671.24,Bangladesh,26
SES000033,2022-01-18,YouTube,Mobile,Home,20,102.1,Yes,No,24719.53,Bangladesh,59
SES000034,2022-08-19,Direct,Tablet,Sports,7,75.09,Yes,Yes,19999.24,USA,42
SES000035,2022-08-27,Instagram,Desktop,Electronics,10,28.45,No,No,4920.3,Germany,55
SES000036,2025-07-27,Google,Desktop,Sports,8,79.69,No,No,25186.31,Canada,58
SES000037,2024-09-30,Direct,Desktop,Sports,2,110.49,No,No,19615.2,Canada,23
SES000038,2024-06-17,Direct,Tablet,Electronics,3,14.76,Yes,Yes,21111.26,Canada,38
SES000039,2024-01-06,Instagram,Mobile,Sports,17,51.17,No,No,25828.46,Canada,23
SES000040,2023-09-11,YouTube,Tablet,Fashion,2,57.33,Yes,Yes,28896.28,USA,21
SES000041,2023-10-26,Direct,Mobile,Fashion,18,42.91,Yes,No,28184.61,USA,58
SES000042,2022-09-04,Direct,Mobile,Fashion,9,7.89,Yes,No,11542.8,Germany,46
SES000043,2023-03-22,Google,Mobile,Fashion,7,29.33,Yes,Yes,3101.25,Germany,31
SES000044,2023-11-29,Direct,Tablet,Beauty,22,56.83,No,No,5165.47,Bangladesh,29
SES000045,2022-07-27,Instagram,Tablet,Sports,21,55.08,Yes,Yes,4504.31,India,63
SES000046,2022-08-28,Facebook,Tablet,Beauty,2,56.83,No,Yes,1324.1,Germany,22
SES000047,2022-08-26,YouTube,Mobile,Fashion,15,14.08,No,Yes,4208.79,USA,43
SES000048,2023-01-31,Instagram,Desktop,Home,26,64.17,No,Yes,4326.53,India,32
SES000049,2023-12-07,Direct,Desktop,Electronics,11,37.96,No,No,5808.94,India,59
SES000050,2024-12-02,Facebook,Desktop,Beauty,21,113.45,No,No,19855.85,India,23
SES000051,2022-12-07,Facebook,Mobile,Home,25,112.5,No,No,3762.74,USA,57
SES000052,2023-07-20,Instagram,Mobile,Sports,12,90.78,No,No,8585.35,Canada,43
SES000053,2025-06-05,Instagram,Mobile,Beauty,14,44.32,No,Yes,6686.6,USA,31
SES000054,2022-08-20,Facebook,Desktop,Sports,6,10.12,No,No,28767.28,Germany,46
SES000055,2022-01-12,Direct,Tablet,Home,20,96.16,No,Yes,25107.35,Bangladesh,34
SES000056,2024-04-10,Google,Desktop,Home,7,77.43,Yes,No,25075.53,Bangladesh,51
SES000057,2025-01-15,YouTube,Mobile,Beauty,13,2.73,No,No,639.1,USA,62
SES000058,2024-06-14,Direct,Tablet,Home,10,65.14,Yes,No,13916.99,India,35
SES000059,2025-11-30,Direct,Tablet,Home,24,81.93,Yes,No,2286.92,USA,34
SES000060,2024-03-15,Instagram,Mobile,Electronics,5,87.26,No,No,13145.1,Germany,21
SES000061,2023-12-02,Facebook,Mobile,Home,17,50.67,Yes,Yes,27767.73,Canada,19
SES000062,2023-04-29,Instagram,Mobile,Beauty,17,103.23,Yes,Yes,8609.53,India,24
SES000063,2024-12-04,Direct,Tablet,Sports,27,4.53,Yes,No,22094.18,Bangladesh,19
SES000064,2024-01-31,Google,Tablet,Fashion,23,42.68,No,No,20622.44,Canada,19
SES000065,2024-08-22,Facebook,Desktop,Fashion,6,5.52,Yes,Yes,26858.99,USA,24
SES000066,2022-03-11,Facebook,Desktop,Home,23,4.78,Yes,No,5054.22,USA,31
SES000067,2022-07-18,Facebook,Tablet,Electronics,25,16.98,Yes,No,27147.57,India,36
SES000068,2023-12-15,Google,Tablet,Fashion,23,112.56,Yes,Yes,26821.3,USA,63
SES000069,2022-04-03,Facebook,Mobile,Electronics,18,39.45,No,No,4634.58,India,41
SES000070,2024-06-16,YouTube,Mobile,Home,10,43.66,No,Yes,1517.86,Bangladesh,20
SES000071,2022-01-03,Instagram,Mobile,Home,17,34.73,No,No,23845.63,Canada,18
SES000072,2022-10-11,Google,Mobile,Fashion,18,17.07,Yes,No,19018.56,India,53
SES000073,2023-12-20,Google,Tablet,Electronics,2,54.7,Yes,Yes,9008.21,India,38
SES000074,2025-08-16,Facebook,Desktop,Beauty,23,16.02,Yes,No,14607.24,Canada,37
SES000075,2023-01-25,YouTube,Mobile,Sports,10,93.43,Yes,No,18779.88,Bangladesh,53
SES000076,2022-02-10,YouTube,Mobile,Sports,4,52.52,No,Yes,13820.14,Canada,63
SES000077,2024-01-17,YouTube,Tablet,Beauty,19,119.21,Yes,Yes,20529.35,Bangladesh,32
SES000078,2025-06-27,Instagram,Tablet,Sports,4,95.64,Yes,No,28374.77,USA,60
SES000079,2023-06-02,Facebook,Desktop,Electronics,7,92.96,Yes,No,29575.33,Bangladesh,24
SES000080,2025-09-09,Direct,Desktop,Electronics,7,18.33,No,No,3966.59,India,53
SES000081,2024-08-29,YouTube,Desktop,Home,20,64.03,No,No,29999.97,India,46
SES000082,2022-01-10,Direct,Mobile,Beauty,16,35.83,No,Yes,6703.49,India,32
SES000083,2023-11-06,Instagram,Mobile,Fashion,16,48.96,Yes,No,28734.33,Canada,41
SES000084,2022-08-02,YouTube,Tablet,Home,17,49.74,Yes,No,27112.4,USA,18
SES000085,2025-02-23,YouTube,Mobile,Beauty,22,10.55,No,No,23793.05,Germany,45
