Employee_ID,Department,Job_Role,Gender,Age,Experience_Years,Monthly_Salary,Performance_Rating,Work_Hours_Per_Week,Training_Hours,Attrition,Job_Satisfaction
EMP00000,Finance,Manager,Male,34,14,90753.82,5,62,50,Yes,2
EMP00001,Marketing,Consultant,Male,58,15,187556.24,2,30,28,No,4
EMP00002,Sales,Consultant,Male,47,6,44434.33,2,38,14,No,1
EMP00003,HR,Consultant,Female,36,6,96813.61,2,66,66,Yes,5
EMP00004,Sales,Analyst,Female,55,23,119151.17,5,32,73,No,4
EMP00005,HR,Developer,Female,53,7,174642.69,3,60,97,No,2
EMP00006,Sales,Consultant,Male,48,26,173131.16,4,47,43,Yes,5
EMP00007,Finance,Developer,Female,53,1,30589.79,4,37,77,No,4
EMP00008,Marketing,Executive,Female,54,13,146417.91,1,32,15,No,5
EMP00009,IT,Manager,Female,25,0,24292.11,3,67,21,Yes,2
EMP00010,Marketing,Analyst,Male,21,20,77143.2,5,42,32,No,2
EMP00011,HR,Manager,Male,28,11,149347.18,2,38,27,No,1
EMP00012,Marketing,Executive,Female,45,26,112586.51,4,47,38,No,3
EMP00013,Finance,Executive,Female,52,17,90772.49,2,54,65,No,2
EMP00014,Sales,Analyst,Male,34,23,110897.73,5,38,9,No,1
EMP00015,IT,Consultant,Female,33,4,195155.11,3,63,23,No,1
EMP00016,Sales,Executive,Female,26,4,161691.44,2,39,12,No,5
EMP00017,Marketing,Manager,Male,51,7,167828.81,4,32,53,No,4
EMP00018,IT,Executive,Male,55,21,134688.59,5,60,44,No,2
EMP00019,Sales,Executive,Female,59,25,177599.65,2,49,43,No,2
EMP00020,Sales,Consultant,Female,39,20,171989.28,4,56,72,No,4
EMP00021,Finance,Manager,Female,49,6,95170.2,1,34,55,No,1
EMP00022,Finance,Developer,Male,47,15,68511.61,1,59,83,Yes,3
EMP00023,Marketing,Consultant,Female,29,13,62839.88,4,60,82,Yes,4
EMP00024,Finance,Consultant,Male,53,11,198467.54,5,44,21,Yes,4
EMP00025,IT,Consultant,Male,29,13,76233.72,4,35,68,No,4
EMP00026,Sales,Manager,Female,38,20,166916.08,2,53,35,Yes,1
EMP00027,IT,Executive,Male,40,10,56082.3,2,51,47,No,5
EMP00028,Sales,Developer,Male,53,13,101360.5,2,33,56,Yes,4
EMP00029,Sales,Executive,Male,26,29,181335.41,3,33,60,No,3
EMP00030,Marketing,Executive,Female,41,24,147739.4,3,43,43,No,4
EMP00031,HR,Consultant,Female,38,28,61072.47,5,69,50,No,1
EMP00032,Finance,Executive,Male,26,1,164830.27,1,56,85,No,1
EMP00033,Finance,Analyst,Male,52,10,82206.75,5,40,10,No,2
EMP00034,Marketing,Developer,Female,32,23,26450.83,1,42,50,No,2
EMP00035,HR,Consultant,Female,35,8,64672.12,5,63,82,No,1
EMP00036,IT,Developer,Male,34,12,155949.18,2,49,76,No,1
EMP00037,Finance,Consultant,Male,44,14,20231.08,2,57,52,No,5
EMP00038,HR,Manager,Female,29,15,110697.71,4,36,76,No,5
EMP00039,HR,Executive,Male,34,19,51596.66,2,66,29,No,3
EMP00040,Sales,Executive,Male,29,18,132339.05,2,51,42,Yes,3
EMP00041,IT,Executive,Male,57,22,160244.38,1,63,44,No,5
EMP00042,IT,Executive,Male,45,20,175013.46,5,46,75,No,2
EMP00043,IT,Executive,Male,26,18,164510.7,2,56,79,No,5
EMP00044,HR,Manager,Male,50,21,180453.4,4,49,85,No,1
EMP00045,Marketing,Executive,Male,28,7,49106.01,3,60,51,No,2
EMP00046,Marketing,Manager,Female,28,16,60958.95,2,58,5,No,4
EMP00047,Marketing,Analyst,Male,42,15,147883.95,2,58,12,No,1
EMP00048,HR,Consultant,Male,27,5,75918.28,2,58,88,No,5
EMP00049,Sales,Executive,Female,44,25,114820.22,3,37,46,No,3
EMP00050,Sales,Consultant,Male,49,2,158208.86,4,64,6,No,5
EMP00051,Sales,Consultant,Male,30,1,163455.94,4,61,33,No,3
EMP00052,Sales,Developer,Female,56,20,156316.05,3,49,56,No,4
EMP00053,Marketing,Consultant,Male,37,9,33158.72,2,45,44,No,3
EMP00054,HR,Manager,Female,38,25,115031.89,2,36,86,No,1
EMP00055,HR,Developer,Female,55,26,37116.69,3,54,76,Yes,5
EMP00056,HR,Analyst,Female,52,14,42320.45,4,51,71,No,3
EMP00057,Finance,Analyst,Male,42,14,72163.86,4,41,26,Yes,5
EMP00058,HR,Consultant,Female,32,24,178268.11,3,64,24,Yes,5
EMP00059,HR,Developer,Female,29,2,190484.77,3,30,16,No,2
