Order_ID,Order_Date,Region,Country,Category,Sub_Category,Customer_Age,Gender,Sales,Quantity,Discount,Profit
ORD000000,2025-09-20,North,India,Furniture,Shirt,58,Female,1792.55,2,0.35,761.13
ORD000001,2024-04-05,East,USA,Office Supplies,Table,41,Female,2229.63,3,0.08,338.85
ORD000002,2025-03-05,West,Bangladesh,Office Supplies,Shirt,57,Male,335.04,3,0.35,167.62
ORD000003,2025-05-02,North,Canada,Furniture,Table,23,Female,4493.85,6,0.07,-106.54
ORD000004,2023-10-26,West,India,Office Supplies,Laptop,31,Female,3470.59,4,0.3,163.75
ORD000005,2025-06-27,South,Canada,Office Supplies,Printer,29,Male,3512.55,5,0.26,1101.74
ORD000006,2025-07-31,North,Bangladesh,Electronics,Phone,54,Male,3824.28,2,0.24,850.0
ORD000007,2024-01-31,East,USA,Electronics,Shirt,45,Female,4326.23,7,0.38,-143.51
ORD000008,2023-05-05,North,USA,Electronics,Laptop,47,Female,209.36,6,0.18,288.5
ORD000009,2023-11-07,South,Canada,Clothing,Phone,56,Male,4020.28,4,0.14,230.56
ORD000010,2023-05-09,East,Canada,Electronics,Table,52,Female,4953.22,4,0.08,1131.16
ORD000011,2025-01-09,West,Canada,Clothing,Laptop,41,Male,2255.28,7,0.13,-10.51
ORD000012,2025-10-27,North,USA,Electronics,Table,26,Female,4585.38,7,0.26,1028.82
ORD000013,2025-12-21,South,UK,Clothing,Laptop,34,Male,761.02,7,0.31,896.71
ORD000014,2022-01-09,North,India,Electronics,Printer,46,Male,4272.98,5,0.3,-187.02
ORD000015,2025-03-13,North,UK,Office Supplies,Phone,32,Male,103.89,7,0.08,1442.52
ORD000016,2025-03-17,East,USA,Office Supplies,Table,27,Female,4433.97,3,0.35,1224.48
ORD000017,2023-01-04,North,UK,Clothing,Printer,19,Female,329.29,1,0.24,936.51
ORD000018,2023-05-08,East,UK,Furniture,Phone,22,Female,3803.34,1,0.29,877.86
ORD000019,2023-12-07,South,Bangladesh,Furniture,Laptop,22,Male,4774.48,7,0.23,722.81
ORD000020,2023-07-12,East,India,Clothing,Phone,35,Male,4300.75,2,0.27,696.43
ORD000021,2024-11-10,West,UK,Electronics,Table,61,Female,1039.1,5,0.3,443.88
ORD000022,2023-02-24,West,USA,Office Supplies,Printer,37,Male,707.37,2,0.13,201.31
ORD000023,2024-09-10,North,USA,Office Supplies,Shirt,32,Female,687.13,1,0.14,1234.05
ORD000024,2024-09-04,East,Bangladesh,Furniture,Printer,44,Male,1518.44,4,0.32,303.93
ORD000025,2022-11-14,North,UK,Electronics,Laptop,32,Male,265.03,9,0.33,429.39
ORD000026,2022-10-02,South,India,Electronics,Phone,32,Male,4085.79,9,0.32,1488.94
ORD000027,2024-09-12,North,USA,Clothing,Phone,34,Female,323.43,5,0.25,-77.39
ORD000028,2024-10-16,North,Canada,Electronics,Table,27,Female,4472.2,6,0.16,-61.71
ORD000029,2022-06-14,East,India,Furniture,Printer,33,Male,3825.43,3,0.25,788.9
ORD000030,2024-06-27,West,Bangladesh,Electronics,Printer,26,Female,2581.19,1,0.08,935.47
ORD000031,2024-01-24,East,Bangladesh,Electronics,Table,63,Male,1873.89,6,0.28,893.52
ORD000032,2023-08-02,South,Bangladesh,Furniture,Table,53,Female,2794.43,7,0.07,1440.62
ORD000033,2025-10-14,South,UK,Furniture,Laptop,21,Male,3128.49,4,0.35,-3.23
ORD000034,2022-06-23,West,USA,Furniture,Shirt,46,Female,4493.66,2,0.26,165.44
ORD000035,2022-04-13,West,India,Clothing,Phone,50,Male,2827.9,7,0.32,853.53
ORD000036,2024-01-04,North,India,Clothing,Chair,31,Male,3627.47,3,0.34,143.23
ORD000037,2025-10-15,North,India,Furniture,Laptop,24,Female,4521.9,3,0.11,1443.12
ORD000038,2024-12-04,North,USA,Office Supplies,Shirt,41,Female,3592.81,7,0.26,1497.67
ORD000039,2025-01-28,North,India,Electronics,Table,27,Male,4019.67,7,0.2,850.31
ORD000040,2022-04-26,East,Canada,Clothing,Laptop,25,Female,4901.04,3,0.37,1414.62
ORD000041,2023-01-27,West,Canada,Electronics,Table,21,Female,3466.52,2,0.31,-117.93
ORD000042,2022-11-27,East,Bangladesh,Office Supplies,Table,53,Male,93.11,1,0.17,1392.27
ORD000043,2025-02-11,North,Bangladesh,Office Supplies,Printer,45,Female,2586.66,5,0.09,897.27
